data,label
INVOICE # FIPS Number: vendor_name,"1,1,1"
FIPS Number: vendor_name Total Change Orders,"1,1,1"
vendor_name Total Change Orders Invoice Date,"1,1,1"
Total Change Orders Invoice Date CAJUN Invoice No.,"0,1,0"
Invoice Date CAJUN Invoice No. Gross Amount This Invoice,"1,1,1"
CAJUN Invoice No. Gross Amount This Invoice Total Amount Due This Invoice,"1,1,1"
Gross Amount This Invoice Total Amount Due This Invoice Total Work Completed to Date,"1,1,0"
Total Amount Due This Invoice Total Work Completed to Date Routing Number:,"1,1,1"
Total Work Completed to Date Routing Number: Account Number:,"0,1,1"
Routing Number: Account Number: Total Obligated Amount:,"0,0,0"
Account Number: Total Obligated Amount: Invoice #:,"1,1,1"
Total Obligated Amount: Invoice #: Date:,"1,1,1"
Invoice #: Date: Amount:,"1,1,0"
Date: Amount: INVOICE DATE:,"1,1,1"
Amount: INVOICE DATE: 9. TOTAL LESS RETAINAGE S,"1,1,1"
INVOICE DATE: 9. TOTAL LESS RETAINAGE S 11. AMOUNT OF THIS APPLICATION $,"1,1,1"
9. TOTAL LESS RETAINAGE S 11. AMOUNT OF THIS APPLICATION $ 7. TOTAL (4 + 5 + 6) $,"1,1,1"
11. AMOUNT OF THIS APPLICATION $ 7. TOTAL (4 + 5 + 6) $ 8. LESS AMOUNT RETAINED (COLUMN I) $,"0,1,1"
7. TOTAL (4 + 5 + 6) $ 8. LESS AMOUNT RETAINED (COLUMN I) $ 1. ORIGINAL CONTRACT AMOUNT,"1,1,0"
8. LESS AMOUNT RETAINED (COLUMN I) $ 1. ORIGINAL CONTRACT AMOUNT INVOICE #,"1,1,1"
1. ORIGINAL CONTRACT AMOUNT INVOICE # DATE,"0,1,1"
INVOICE # DATE INVOICE NUMBER,"1,1,1"
DATE INVOICE NUMBER ACCOUNT NUMBER,"1,1,1"
INVOICE NUMBER ACCOUNT NUMBER AMOUNT DUE,"0,0,0"
ACCOUNT NUMBER AMOUNT DUE ACGOUNI NUMBER,"1,1,1"
AMOUNT DUE ACGOUNI NUMBER AMOUNT DDE,"1,1,1"
ACGOUNI NUMBER AMOUNT DDE START DATE,"1,1,0"
AMOUNT DDE START DATE AMOUNT DUBE,"1,0,0"
START DATE AMOUNT DUBE Number,"0,0,0"
AMOUNT DUBE Number Total Due,"0,1,1"
Number Total Due Amount Due by 01/05/2006,"0,0,0"
Total Due Amount Due by 01/05/2006 Amount Due after 01/05/2006,"0,0,0"
Amount Due by 01/05/2006 Amount Due after 01/05/2006 PO Number,"0,0,0"
Amount Due after 01/05/2006 PO Number PLEASE PAY THIS AMOUNT,"0,1,1"
PO Number PLEASE PAY THIS AMOUNT Lease Number,"0,0,0"
PLEASE PAY THIS AMOUNT Lease Number Invoice Number:,"0,0,0"
Lease Number Invoice Number: invoice Due Date:,"0,0,0"
Invoice Number: invoice Due Date: Total Due:,"0,0,0"
invoice Due Date: Total Due: lavoice Date:,"0,0,0"
Total Due: lavoice Date: Customer Number:,"0,1,1"
lavoice Date: Customer Number: Due Date,"0,0,0"
Customer Number: Due Date Due Date:,"0,0,1"
Due Date Due Date: Total Net Payments,"1,1,0"
Due Date: Total Net Payments Subtotal,"0,0,1"
Total Net Payments Subtotal Invoice Total,"0,0,0"
Subtotal Invoice Total Order Number,"0,1,1"
Invoice Total Order Number Customer Number,"0,0,0"
Order Number Customer Number Purchase Order No.,"0,1,1"
Customer Number Purchase Order No. TOTAL,"0,0,1"
Purchase Order No. TOTAL Total Invoice Amount,"0,0,1"
TOTAL Total Invoice Amount EMPLOYEE NUMBER,"0,0,1"
Total Invoice Amount EMPLOYEE NUMBER PAY THIS AMOUNT:,"0,0,0"
EMPLOYEE NUMBER PAY THIS AMOUNT: SUB TOTAL:,"1,1,0"
PAY THIS AMOUNT: SUB TOTAL: Week Ending Date,"0,0,0"
